2018/11/19 18:58:30 [error] 1578#1578: *280 open() "/app/static/cache/products/7/catalog_list_4.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/7/catalog_list_4.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/index"
2018/11/19 18:58:32 [error] 1578#1578: *280 open() "/app/static/cache/products/9/catalog_product_main_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_main_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 18:58:32 [error] 1578#1578: *280 open() "/app/static/cache/products/9/catalog_product_additional_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_product_additional_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 18:58:35 [error] 1578#1578: *280 open() "/app/static/cache/products/9/catalog_origin_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 18:58:35 [error] 1578#1578: *280 open() "/app/static/cache/products/9/catalog_origin_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 18:58:41 [error] 1578#1578: *280 open() "/app/static/cache/products/9/catalog_origin_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 18:58:41 [error] 1578#1578: *283 open() "/app/static/cache/products/9/catalog_origin_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:00:30 [error] 1578#1578: *284 open() "/app/static/cache/products/9/catalog_origin_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:00:30 [error] 1578#1578: *284 open() "/app/static/cache/products/9/catalog_origin_2.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_2.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
2018/11/19 19:01:08 [error] 1578#1578: *284 open() "/app/static/cache/products/9/catalog_origin_1.jpg" failed (2: No such file or directory), client: 10.0.2.2, server: static.shop.dev, request: "GET /cache/products/9/catalog_origin_1.jpg HTTP/1.1", host: "static.shop.dev:9999", referrer: "http://shop.dev:9999/shop/catalog/product?id=9"
